ID,Name,Frequency,Notes,Morning Reminder,Evening Reminder,Streak,Created At,Last Completed,Is Active,Reactivated At
1,running,daily,run as much as you can,06:00,20:00,1,2025-06-07 00:00,2025-07-15 00:43,Yes,
2,study,weekly,read what can be written,,,2,2025-06-07 00:00,2025-07-13 01:14,Yes,
3,Learn Python,weekly,Study so i can make some money.,,20:00,2,2025-06-26 00:00,2025-07-15 00:44,Yes,
4,a try,daily,just a try,11:11,21:11,3,2025-06-26 00:00,2025-07-13 01:14,Yes,
5,Daily habit 1,daily,,,,6,2025-06-19 00:00,2025-07-13 01:14,Yes,
6,weekly 1,weekly,,,,1,2025-06-07 00:00,2025-07-08 08:07,Yes,
7,weekly 2,weekly,,,,2,2025-06-05 00:00,2025-07-13 01:17,Yes,
8,Test daily habit 1,daily,This is testing logic,22:22,22:22,1,2025-06-27 00:00,2025-07-09 20:33,Yes,
9,Test daily habit 2,daily,Testing for missed days,,,1,2025-06-27 00:00,2025-07-15 15:23,Yes,
10,Weekly 1 logic test,weekly,,,,4,2025-06-27 00:00,2025-07-13 01:18,Yes,
11,weekly 2 logic  test missed weeks,weekly,,,,2,2025-06-27 00:00,2025-07-15 15:23,Yes,
12,cheese,daily,mac and cheese,08:00,22:22,1,2025-06-29 22:11,2025-07-11 07:23,Yes,
13,mid night,daily,sleep late,11:11,20:00,1,2025-07-06 00:03,2025-07-15 15:23,Yes,
14,time to dance,daily,checking time to dance,11:11,21:11,1,2025-07-09 16:18,2025-07-15 15:23,Yes,
15,wash,weekly,wash shoes,10:00,23:00,1,,2025-07-09 20:49,Yes,
16,,daily,eat fruits,10:00,20:00,1,2025-07-09 21:04,2025-07-15 00:44,Yes,2025-07-10 10:17
17,0000,daily,000,12:11,21:11,1,2025-07-09 21:19,2025-07-15 15:23,Yes,2025-07-10 10:34
18,ee,weekly,,,,2,2025-07-09 21:25,2025-07-15 15:24,Yes,2025-07-15 15:23
19,rrr,weekly,rrr,,,1,2025-07-09 21:30,2025-07-15 15:29,Yes,2025-07-15 15:29
20,ttt,weekly,,,,1,2025-07-09 21:36,2025-07-09 21:36,No,
21,www,weekly,,,,1,2025-07-09 22:03,2025-07-09 22:03,No,
22,444,daily,444,12:11,21:11,1,2025-07-10 10:48,2025-07-15 00:44,Yes,
23,Testing streaks,daily,Testing the logic of the application,06:00,21:00,1,2025-07-13 01:40,2025-07-15 15:31,Yes,2025-07-15 15:30
